,Area,Outcome Month,Outcome type,Crime Month,Crime type
0,Barking and Dagenham,10401,10401,10401,10401
1,Barnet,14321,14321,14321,14321
2,Bexley,7837,7837,7837,7837
3,Brent,15911,15911,15911,15911
4,Bromley,12499,12499,12499,12499
5,Camden,17274,17274,17274,17274
6,Croydon,17711,17711,17711,17711
7,Ealing,17265,17265,17265,17265
8,Enfield,14058,14058,14058,14058
9,Greenwich,14483,14483,14483,14483
10,Hackney,16877,16877,16877,16877
11,Hammersmith and Fulham,12694,12694,12694,12694
12,Haringey,16286,16286,16286,16286
13,Harrow,7579,7579,7579,7579
14,Havering,9961,9961,9961,9961
15,Hillingdon,15088,15088,15088,15088
16,Hounslow,13524,13524,13524,13524
17,Islington,16810,16810,16810,16810
18,Kensington and Chelsea,12332,12332,12332,12332
19,Kingston upon Thames,6578,6578,6578,6578
20,Lambeth,20459,20459,20459,20459
21,Lewisham,15397,15397,15397,15397
22,Merton,7408,7408,7408,7408
23,Newham,17134,17134,17134,17134
24,Not in London,760,760,760,760
25,Redbridge,11871,11871,11871,11871
26,Richmond upon Thames,6235,6235,6235,6235
27,Southwark,18499,18499,18499,18499
28,Sutton,6283,6283,6283,6283
29,Tower Hamlets,17460,17460,17460,17460
30,Waltham Forest,12221,12221,12221,12221
31,Wandsworth,14205,14205,14205,14205
32,Westminster,28748,28748,28748,28748
