Area,Outcome Month,Outcome type,Crime Month,Crime type
Adur,1,1,1,1
Ashford,1,1,1,1
Aylesbury Vale,1,1,1,1
Babergh,1,1,1,1
Barking and Dagenham,10401,10401,10401,10401
Barnet,14321,14321,14321,14321
Basildon,3,3,3,3
Bassetlaw,1,1,1,1
Bedford,2,2,2,2
Bexley,7837,7837,7837,7837
Birmingham,7,7,7,7
Blackpool,1,1,1,1
Bracknell Forest,4,4,4,4
Bradford,5,5,5,5
Braintree,1,1,1,1
Brent,15911,15911,15911,15911
Brentwood,4,4,4,4
Brighton and Hove,6,6,6,6
Bristol,2,2,2,2
Broadland,1,1,1,1
Bromley,12499,12499,12499,12499
Broxbourne,11,11,11,11
Cambridge,1,1,1,1
Camden,17274,17274,17274,17274
Canterbury,2,2,2,2
Central Bedfordshire,3,3,3,3
Chelmsford,3,3,3,3
Cheltenham,1,1,1,1
Cheshire East,2,2,2,2
Cheshire West and Chester,1,1,1,1
Chiltern,1,1,1,1
City of London,226,226,226,226
Colchester,1,1,1,1
Corby,1,1,1,1
Cornwall,2,2,2,2
Cotswold,2,2,2,2
County Durham,2,2,2,2
Coventry,1,1,1,1
Crawley,4,4,4,4
Croydon,17711,17711,17711,17711
Dacorum,2,2,2,2
Darlington,1,1,1,1
Dartford,13,13,13,13
Ealing,17265,17265,17265,17265
East Devon,1,1,1,1
East Dorset,1,1,1,1
East Hertfordshire,1,1,1,1
East Northamptonshire,1,1,1,1
Eastbourne,2,2,2,2
Elmbridge,26,26,26,26
Enfield,14058,14058,14058,14058
Epping Forest,32,32,32,32
Epsom and Ewell,24,24,24,24
Fareham,1,1,1,1
Fylde,1,1,1,1
Gravesham,8,8,8,8
Greenwich,14483,14483,14483,14483
Guildford,2,2,2,2
Hackney,16877,16877,16877,16877
Hammersmith and Fulham,12694,12694,12694,12694
Harborough,1,1,1,1
Haringey,16286,16286,16286,16286
Harlow,2,2,2,2
Harrow,7579,7579,7579,7579
Hastings,4,4,4,4
Havering,9961,9961,9961,9961
Herefordshire,2,2,2,2
Hertsmere,15,15,15,15
Hillingdon,15088,15088,15088,15088
Horsham,1,1,1,1
Hounslow,13524,13524,13524,13524
Huntingdonshire,2,2,2,2
Ipswich,3,3,3,3
Isle of Wight,2,2,2,2
Islington,16810,16810,16810,16810
Kensington and Chelsea,12332,12332,12332,12332
Kettering,1,1,1,1
Kingston upon Thames,6578,6578,6578,6578
Kirklees,3,3,3,3
Lambeth,20459,20459,20459,20459
Lancaster,1,1,1,1
Leeds,6,6,6,6
Leicester,3,3,3,3
Lewisham,15397,15397,15397,15397
Liverpool,4,4,4,4
Luton,5,5,5,5
Maldon,1,1,1,1
Malvern Hills,1,1,1,1
Manchester,1,1,1,1
Medway,8,8,8,8
Merton,7408,7408,7408,7408
Milton Keynes,3,3,3,3
Mole Valley,1,1,1,1
Neath Port Talbot,1,1,1,1
New Forest,2,2,2,2
Newcastle upon Tyne,4,4,4,4
Newham,17134,17134,17134,17134
North Hertfordshire,1,1,1,1
North Kesteven,1,1,1,1
North Tyneside,2,2,2,2
Northampton,1,1,1,1
Northumberland,2,2,2,2
Norwich,1,1,1,1
Nottingham,1,1,1,1
Pendle,1,1,1,1
Peterborough,2,2,2,2
Portsmouth,2,2,2,2
Preston,1,1,1,1
Reading,1,1,1,1
Redbridge,11871,11871,11871,11871
Reigate and Banstead,15,15,15,15
Richmond upon Thames,6235,6235,6235,6235
Richmondshire,1,1,1,1
Rochford,3,3,3,3
Rother,2,2,2,2
Rugby,1,1,1,1
Runnymede,2,2,2,2
Sevenoaks,9,9,9,9
Shepway,1,1,1,1
Shropshire,1,1,1,1
Slough,8,8,8,8
South Bucks,7,7,7,7
South Kesteven,1,1,1,1
South Norfolk,1,1,1,1
South Oxfordshire,1,1,1,1
Southampton,4,4,4,4
Southend-on-Sea,4,4,4,4
Southwark,18499,18499,18499,18499
Spelthorne,68,68,68,68
St Albans,6,6,6,6
St Edmundsbury,1,1,1,1
St. Helens,1,1,1,1
Stafford,1,1,1,1
Stevenage,2,2,2,2
Stratford-on-Avon,1,1,1,1
Suffolk Coastal,2,2,2,2
Surrey Heath,1,1,1,1
Sutton,6283,6283,6283,6283
Swansea,5,5,5,5
Swindon,1,1,1,1
Tamworth,1,1,1,1
Tandridge,14,14,14,14
Thanet,1,1,1,1
Three Rivers,12,12,12,12
Thurrock,18,18,18,18
Tonbridge and Malling,2,2,2,2
Torbay,2,2,2,2
Tower Hamlets,17460,17460,17460,17460
Uttlesford,6,6,6,6
Wakefield,2,2,2,2
Waltham Forest,12221,12221,12221,12221
Wandsworth,14205,14205,14205,14205
Warrington,1,1,1,1
Watford,4,4,4,4
Waveney,1,1,1,1
Waverley,3,3,3,3
Wealden,1,1,1,1
Welwyn Hatfield,7,7,7,7
West Berkshire,2,2,2,2
West Lancashire,2,2,2,2
Westminster,28748,28748,28748,28748
Weymouth and Portland,1,1,1,1
Wigan,1,1,1,1
Winchester,1,1,1,1
Windsor and Maidenhead,3,3,3,3
Wirral,1,1,1,1
Woking,2,2,2,2
Wokingham,2,2,2,2
Wolverhampton,2,2,2,2
Worthing,1,1,1,1
Wychavon,1,1,1,1
Wycombe,2,2,2,2
