Area,Outcome Month,Outcome type,Crime Month,Crime type,Recoded Area
Adur,1,1,1,1,Not in London
Ashford,1,1,1,1,Not in London
Aylesbury Vale,1,1,1,1,Not in London
Babergh,1,1,1,1,Not in London
Barking and Dagenham,10401,10401,10401,10401,Barking and Dagenham
Barnet,14321,14321,14321,14321,Barnet
Basildon,3,3,3,3,Not in London
Bassetlaw,1,1,1,1,Not in London
Bedford,2,2,2,2,Not in London
Bexley,7837,7837,7837,7837,Bexley
Birmingham,7,7,7,7,Not in London
Blackpool,1,1,1,1,Not in London
Bracknell Forest,4,4,4,4,Not in London
Bradford,5,5,5,5,Not in London
Braintree,1,1,1,1,Not in London
Brent,15911,15911,15911,15911,Brent
Brentwood,4,4,4,4,Not in London
Brighton and Hove,6,6,6,6,Not in London
Bristol,2,2,2,2,Not in London
Broadland,1,1,1,1,Not in London
Bromley,12499,12499,12499,12499,Bromley
Broxbourne,11,11,11,11,Not in London
Cambridge,1,1,1,1,Not in London
Camden,17274,17274,17274,17274,Camden
Canterbury,2,2,2,2,Not in London
Central Bedfordshire,3,3,3,3,Not in London
Chelmsford,3,3,3,3,Not in London
Cheltenham,1,1,1,1,Not in London
Cheshire East,2,2,2,2,Not in London
Cheshire West and Chester,1,1,1,1,Not in London
Chiltern,1,1,1,1,Not in London
City of London,226,226,226,226,Not in London
Colchester,1,1,1,1,Not in London
Corby,1,1,1,1,Not in London
Cornwall,2,2,2,2,Not in London
Cotswold,2,2,2,2,Not in London
County Durham,2,2,2,2,Not in London
Coventry,1,1,1,1,Not in London
Crawley,4,4,4,4,Not in London
Croydon,17711,17711,17711,17711,Croydon
Dacorum,2,2,2,2,Not in London
Darlington,1,1,1,1,Not in London
Dartford,13,13,13,13,Not in London
Ealing,17265,17265,17265,17265,Ealing
East Devon,1,1,1,1,Not in London
East Dorset,1,1,1,1,Not in London
East Hertfordshire,1,1,1,1,Not in London
East Northamptonshire,1,1,1,1,Not in London
Eastbourne,2,2,2,2,Not in London
Elmbridge,26,26,26,26,Not in London
Enfield,14058,14058,14058,14058,Enfield
Epping Forest,32,32,32,32,Not in London
Epsom and Ewell,24,24,24,24,Not in London
Fareham,1,1,1,1,Not in London
Fylde,1,1,1,1,Not in London
Gravesham,8,8,8,8,Not in London
Greenwich,14483,14483,14483,14483,Greenwich
Guildford,2,2,2,2,Not in London
Hackney,16877,16877,16877,16877,Hackney
Hammersmith and Fulham,12694,12694,12694,12694,Hammersmith and Fulham
Harborough,1,1,1,1,Not in London
Haringey,16286,16286,16286,16286,Haringey
Harlow,2,2,2,2,Not in London
Harrow,7579,7579,7579,7579,Harrow
Hastings,4,4,4,4,Not in London
