name,areaCrime.csv,areaCrime__1.csv,crimeTypes.csv,crimes.csv,crimesByMonth.csv,locationRecode.csv,typeLoc.csv,typeLoc__1.csv,typeLoc__2.csv,typeLoc__3.csv,typeOutcome.csv
areaCrime.csv,1,0,0,4.48088e-07,0,0.000528821,0.000222767,0.000191755,0,0,0
areaCrime__1.csv,0,1,0,0,0,0,0,0,0,0,0
crimeTypes.csv,0,0,1,0,0,0,0,0,0,0,0
crimes.csv,4.48088e-07,0,0,1,0,4.48054e-07,4.47533e-07,4.47387e-07,0,0,0
crimesByMonth.csv,0,0,0,0,1,0,0,0,0,0,0
locationRecode.csv,0.000528821,0,0,4.48054e-07,0,1,0.000214546,0.000185632,0,0,0
typeLoc.csv,0.000222767,0,0,4.47533e-07,0,0.000214546,1,0,0,0,0
typeLoc__1.csv,0.000191755,0,0,4.47387e-07,0,0.000185632,0,1,0,0,0
typeLoc__2.csv,0,0,0,0,0,0,0,0,1,0,0
typeLoc__3.csv,0,0,0,0,0,0,0,0,0,1,0
typeOutcome.csv,0,0,0,0,0,0,0,0,0,0,1
