name,areaCrime.csv,areaCrime__1.csv,crimeTypes.csv,crimes.csv,crimesByMonth.csv,locationRecode.csv,typeLoc.csv,typeLoc__1.csv,typeLoc__2.csv,typeLoc__3.csv,typeOutcome.csv
areaCrime.csv,1,0.0369942,0,0.2,0,0.236994,0.2,0.236994,0.0369942,0.0369942,0
areaCrime__1.csv,0.0369942,1,0,0.0369942,0,0.236994,0.0369942,0.236994,0.2,0.2,0
crimeTypes.csv,0,0,1,0,0,0,0,0,0,0,0
crimes.csv,0.2,0.0369942,0,1,0,0.236994,0.2,0.236994,0.0369942,0.0369942,0
crimesByMonth.csv,0,0,0,0,1,0,0,0,0,0,0
locationRecode.csv,0.236994,0.236994,0,0.236994,0,1,0.166667,0.197495,0.0308285,0.0308285,0
typeLoc.csv,0.2,0.0369942,0,0.2,0,0.166667,1,0.236994,0.0369942,0.0369942,0
typeLoc__1.csv,0.236994,0.236994,0,0.236994,0,0.197495,0.236994,1,0.0308285,0.0308285,0
typeLoc__2.csv,0.0369942,0.2,0,0.0369942,0,0.0308285,0.0369942,0.0308285,1,0.2,0
typeLoc__3.csv,0.0369942,0.2,0,0.0369942,0,0.0308285,0.0369942,0.0308285,0.2,1,0
typeOutcome.csv,0,0,0,0,0,0,0,0,0,0,1
